adduct,ligand,ligand type,complex,halogen ligand,position,X2 species,Complex Energy (kJ/mol),Adduct Energy (kJ/mol),Bond Dissociation Energy (kJ/mol),Pt-X' distance (Å),X-X' distance (Å),X'-Pt-X angle (°),Pt-X-X' angle (°),original_xx_length (Å),xx_length_in_adduct (Å),change_in_xx_length (Å),Total Bonding Energy (kJ/mol),Electrostatic Interaction (kJ/mol),Total Pauli Repulsion (kJ/mol),Total Orbital Interactions (kJ/mol),Dispersion Energy (kJ/mol),Total Interaction Energy (kJ/mol),Lowest Frequency (cm^-1),Homo Energy (kJ/mol),Lumo Energy (kJ/mol),Electronegativity,Hardness,Electrophilicity,Softness
PH3_Br_Pt_Br,PH3,phosphine,PH3_Br,Br,Pt,Br,-4110412.268,-6299198.795,-34.738,3.179,4.389,101.164,45.291,2.316,2.34,0.024,-44.141,-38.242,73.764,-52.928,-26.736,-44.14,14.52,-27907.471,-15649.983,-21778.727,6128.744,38695.771,0.00016
PH3_Br_Pt_Cl,PH3,phosphine,PH3_Br,Br,Pt,Cl,-4110412.268,-6526704.898,-26.724,3.092,4.344,102.09,44.101,2.024,2.048,0.024,-32.761,-34.811,68.116,-44.099,-21.966,-32.76,12.75,-27907.471,-15649.983,-21778.727,6128.744,38695.771,0.00016
PH3_Br_Pt_I,PH3,phosphine,PH3_Br,Br,Pt,I,-4110412.268,-5663297.756,-40.544,3.407,4.407,95.781,50.271,2.704,2.719,0.015,-46.317,-39.204,68.116,-43.639,-31.589,-46.32,10.67,-27907.471,-15649.983,-21778.727,6128.744,38695.771,0.00016
PH3_Br_X_Br,PH3,phosphine,PH3_Br,Br,X,Br,-4110412.268,-6299197.902,-33.845,3.341,3.313,67.456,68.616,2.316,2.337,0.021,-41.296,-45.564,74.81,-45.062,-25.481,-41.3,20.83,-27907.471,-15649.983,-21778.727,6128.744,38695.771,0.00016
PH3_Br_X_Cl,PH3,phosphine,PH3_Br,Br,X,Cl,-4110412.268,-6526702.925,-24.751,3.36,3.329,67.553,68.854,2.024,2.04,0.015,-28.786,-30.962,51.045,-27.489,-21.38,-28.79,16.14,-27907.471,-15649.983,-21778.727,6128.744,38695.771,0.00016
PH3_Br_X_I,PH3,phosphine,PH3_Br,Br,X,I,-4110412.268,-5663298.462,-41.25,3.439,3.601,72.811,65.833,2.704,2.719,0.015,-44.852,-52.3,81.839,-44.35,-30.041,-44.85,12.21,-27907.471,-15649.983,-21778.727,6128.744,38695.771,0.00016
PH3_Cl_Pt_Br,PH3,phosphine,PH3_Cl,Cl,Pt,Br,-4224189.641,-6412975.282,-33.852,3.181,4.316,101.789,46.183,2.316,2.339,0.023,-42.886,-37.74,73.346,-52.467,-25.983,-42.84,13.6,-28959.048,-15584.469,-22271.758,6687.2895,37087.613,0.00015
PH3_Cl_Pt_Cl,PH3,phosphine,PH3_Cl,Cl,Pt,Cl,-4224189.641,-6640481.655,-26.108,3.106,4.273,102.52,45.2,2.024,2.046,0.022,-31.84,-33.514,65.48,-42.342,-21.422,-31.8,10.21,-28959.048,-15584.469,-22271.758,6687.2895,37087.613,0.00015
PH3_Cl_Pt_I,PH3,phosphine,PH3_Cl,Cl,Pt,I,-4224189.641,-5777074.069,-39.484,3.407,4.38,97.579,50.443,2.704,2.718,0.014,-45.104,-38.618,67.697,-43.765,-30.46,-45.15,11.7,-28959.048,-15584.469,-22271.758,6687.2895,37087.613,0.00015
PH3_Cl_X_Br,PH3,phosphine,PH3_Cl,Cl,X,Br,-4224189.641,-6412973.254,-31.824,3.36,3.265,67.05,71.373,2.316,2.33,0.014,-38.284,-41.296,65.27,-37.07,-25.23,-38.33,20.01,-28959.048,-15584.469,-22271.758,6687.2895,37087.613,0.00015
